INSERT INTO ALIMENT (REFERENCIA, NOM, PREU) VALUES
('REF149', 'ALI149', 78),
('REF150', 'ALI150', 33),
('REF151', 'ALI151', 59),
('REF152', 'ALI152', 43),
('REF153', 'ALI153', 100),
('REF154', 'ALI154', 86),
('REF155', 'ALI155', 23),
('REF156', 'ALI156', 57),
('REF157', 'ALI157', 28),
('REF158', 'ALI158', 80),
('REF159', 'ALI159', 15),
('REF160', 'ALI160', 25),
('REF161', 'ALI161', 62),
('REF162', 'ALI162', 7),
('REF163', 'ALI163', 26),
('REF164', 'ALI164', 51),
('REF165', 'ALI165', 55),
('REF166', 'ALI166', 54),
('REF167', 'ALI167', 2),
('REF168', 'ALI168', 41),
('REF169', 'ALI169', 64),
('REF170', 'ALI170', 39),
('REF171', 'ALI171', 81),
('REF172', 'ALI172', 13),
('REF173', 'ALI173', 56),
('REF174', 'ALI174', 89),
('REF175', 'ALI175', 45),
('REF176', 'ALI176', 73),
('REF177', 'ALI177', 7),
('REF178', 'ALI178', 12),
('REF179', 'ALI179', 47),
('REF180', 'ALI180', 78),
('REF181', 'ALI181', 94),
('REF182', 'ALI182', 66),
('REF183', 'ALI183', 5),
('REF184', 'ALI184', 74),
('REF185', 'ALI185', 8),
('REF186', 'ALI186', 42),
('REF187', 'ALI187', 85),
('REF188', 'ALI188', 85),
('REF189', 'ALI189', 76),
('REF190', 'ALI190', 42),
('REF191', 'ALI191', 66),
('REF192', 'ALI192', 7),
('REF193', 'ALI193', 26),
('REF194', 'ALI194', 1),
('REF195', 'ALI195', 89),
('REF196', 'ALI196', 97),
('REF197', 'ALI197', 88),
('REF198', 'ALI198', 35),
('REF199', 'ALI199', 95),
('REF200', 'ALI200', 33),
('REF201', 'ALI201', 49),
('REF202', 'ALI202', 13),
('REF203', 'ALI203', 59),
('REF204', 'ALI204', 36),
('REF205', 'ALI205', 77),
('REF206', 'ALI206', 86),
('REF207', 'ALI207', 23),
('REF208', 'ALI208', 26),
('REF209', 'ALI209', 76),
('REF210', 'ALI210', 89),
('REF211', 'ALI211', 15),
('REF212', 'ALI212', 73),
('REF213', 'ALI213', 93),
('REF214', 'ALI214', 72),
('REF215', 'ALI215', 96),
('REF216', 'ALI216', 12),
('REF217', 'ALI217', 91),
('REF218', 'ALI218', 29),
('REF219', 'ALI219', 44),
('REF220', 'ALI220', 75),
('REF221', 'ALI221', 99),
('REF222', 'ALI222', 67),
('REF223', 'ALI223', 23),
('REF224', 'ALI224', 45),
('REF225', 'ALI225', 25),
('REF226', 'ALI226', 85),
('REF227', 'ALI227', 96),
('REF228', 'ALI228', 81),
('REF229', 'ALI229', 65),
('REF230', 'ALI230', 51),
('REF231', 'ALI231', 50),
('REF232', 'ALI232', 26),
('REF233', 'ALI233', 51),
('REF234', 'ALI234', 2),
('REF235', 'ALI235', 5),
('REF236', 'ALI236', 22),
('REF237', 'ALI237', 83),
('REF238', 'ALI238', 67),
('REF239', 'ALI239', 85),
('REF240', 'ALI240', 54),
('REF241', 'ALI241', 66),
('REF242', 'ALI242', 52),
('REF243', 'ALI243', 84),
('REF244', 'ALI244', 41),
('REF245', 'ALI245', 82),
('REF246', 'ALI246', 72),
('REF247', 'ALI247', 41),
('REF248', 'ALI248', 94),
('REF249', 'ALI249', 29),
('REF250', 'ALI250', 100),
('REF251', 'ALI251', 17),
('REF252', 'ALI252', 71),
('REF253', 'ALI253', 21),
('REF254', 'ALI254', 54),
('REF255', 'ALI255', 79),
('REF256', 'ALI256', 68),
('REF257', 'ALI257', 72),
('REF258', 'ALI258', 13),
('REF259', 'ALI259', 17),
('REF260', 'ALI260', 81),
('REF261', 'ALI261', 43),
('REF262', 'ALI262', 35),
('REF263', 'ALI263', 69),
('REF264', 'ALI264', 6),
('REF265', 'ALI265', 1),
('REF266', 'ALI266', 17),
('REF267', 'ALI267', 14),
('REF268', 'ALI268', 57),
('REF269', 'ALI269', 22),
('REF270', 'ALI270', 1),
('REF271', 'ALI271', 79),
('REF272', 'ALI272', 33),
('REF273', 'ALI273', 19),
('REF274', 'ALI274', 34),
('REF275', 'ALI275', 58),
('REF276', 'ALI276', 37),
('REF277', 'ALI277', 53),
('REF278', 'ALI278', 16),
('REF279', 'ALI279', 15),
('REF280', 'ALI280', 68),
('REF281', 'ALI281', 49),
('REF282', 'ALI282', 83),
('REF283', 'ALI283', 4),
('REF284', 'ALI284', 21),
('REF285', 'ALI285', 6),
('REF286', 'ALI286', 31),
('REF287', 'ALI287', 69),
('REF288', 'ALI288', 48),
('REF289', 'ALI289', 14),
('REF290', 'ALI290', 10),
('REF291', 'ALI291', 5),
('REF292', 'ALI292', 88),
('REF293', 'ALI293', 20),
('REF294', 'ALI294', 58),
('REF295', 'ALI295', 43),
('REF296', 'ALI296', 39),
('REF297', 'ALI297', 72),
('REF298', 'ALI298', 93),
('REF299', 'ALI299', 48),
('REF300', 'ALI300', 95),
('REF301', 'ALI301', 78),
('REF302', 'ALI302', 67),
('REF303', 'ALI303', 77),
('REF304', 'ALI304', 47),
('REF305', 'ALI305', 92),
('REF306', 'ALI306', 39),
('REF307', 'ALI307', 13),
('REF308', 'ALI308', 83),
('REF309', 'ALI309', 58),
('REF310', 'ALI310', 71),
('REF311', 'ALI311', 10),
('REF312', 'ALI312', 85),
('REF313', 'ALI313', 3),
('REF314', 'ALI314', 90),
('REF315', 'ALI315', 73),
('REF316', 'ALI316', 70),
('REF317', 'ALI317', 14),
('REF318', 'ALI318', 27),
('REF319', 'ALI319', 77),
('REF320', 'ALI320', 64),
('REF321', 'ALI321', 20),
('REF322', 'ALI322', 28),
('REF323', 'ALI323', 56),
('REF324', 'ALI324', 6),
('REF325', 'ALI325', 45),
('REF326', 'ALI326', 65),
('REF327', 'ALI327', 28),
('REF328', 'ALI328', 33),
('REF329', 'ALI329', 39),
('REF330', 'ALI330', 83),
('REF331', 'ALI331', 37),
('REF332', 'ALI332', 66),
('REF333', 'ALI333', 11),
('REF334', 'ALI334', 10),
('REF335', 'ALI335', 48),
('REF336', 'ALI336', 71),
('REF337', 'ALI337', 55),
('REF338', 'ALI338', 95),
('REF339', 'ALI339', 25),
('REF340', 'ALI340', 90),
('REF341', 'ALI341', 52),
('REF342', 'ALI342', 34),
('REF343', 'ALI343', 27),
('REF344', 'ALI344', 2),
('REF345', 'ALI345', 93),
('REF346', 'ALI346', 21),
('REF347', 'ALI347', 99),
('REF348', 'ALI348', 96),
('REF349', 'ALI349', 57),
('REF350', 'ALI350', 93),
('REF351', 'ALI351', 20),
('REF352', 'ALI352', 21),
('REF353', 'ALI353', 38),
('REF354', 'ALI354', 91),
('REF355', 'ALI355', 81),
('REF356', 'ALI356', 23),
('REF357', 'ALI357', 27),
('REF358', 'ALI358', 95),
('REF359', 'ALI359', 73),
('REF360', 'ALI360', 5),
('REF361', 'ALI361', 23),
('REF362', 'ALI362', 80),
('REF363', 'ALI363', 17),
('REF364', 'ALI364', 21),
('REF365', 'ALI365', 17),
('REF366', 'ALI366', 25),
('REF367', 'ALI367', 31),
('REF368', 'ALI368', 18),
('REF369', 'ALI369', 56),
('REF370', 'ALI370', 98),
('REF371', 'ALI371', 9),
('REF372', 'ALI372', 99),
('REF373', 'ALI373', 13),
('REF374', 'ALI374', 72),
('REF375', 'ALI375', 60),
('REF376', 'ALI376', 34),
('REF377', 'ALI377', 60),
('REF378', 'ALI378', 15),
('REF379', 'ALI379', 44),
('REF380', 'ALI380', 5),
('REF381', 'ALI381', 3),
('REF382', 'ALI382', 18),
('REF383', 'ALI383', 40),
('REF384', 'ALI384', 71),
('REF385', 'ALI385', 35),
('REF386', 'ALI386', 99),
('REF387', 'ALI387', 85),
('REF388', 'ALI388', 7),
('REF389', 'ALI389', 32),
('REF390', 'ALI390', 92),
('REF391', 'ALI391', 5),
('REF392', 'ALI392', 63),
('REF393', 'ALI393', 12),
('REF394', 'ALI394', 34),
('REF395', 'ALI395', 58),
('REF396', 'ALI396', 53),
('REF397', 'ALI397', 84),
('REF398', 'ALI398', 44),
('REF399', 'ALI399', 55),
('REF400', 'ALI400', 15),
('REF401', 'ALI401', 94),
('REF402', 'ALI402', 80),
('REF403', 'ALI403', 26),
('REF404', 'ALI404', 24),
('REF405', 'ALI405', 44),
('REF406', 'ALI406', 14),
('REF407', 'ALI407', 47),
('REF408', 'ALI408', 19),
('REF409', 'ALI409', 14),
('REF410', 'ALI410', 90),
('REF411', 'ALI411', 42),
('REF412', 'ALI412', 16),
('REF413', 'ALI413', 8),
('REF414', 'ALI414', 9),
('REF415', 'ALI415', 19),
('REF416', 'ALI416', 61),
('REF417', 'ALI417', 95),
('REF418', 'ALI418', 23),
('REF419', 'ALI419', 9),
('REF420', 'ALI420', 75),
('REF421', 'ALI421', 94),
('REF422', 'ALI422', 65),
('REF423', 'ALI423', 100),
('REF424', 'ALI424', 59),
('REF425', 'ALI425', 9),
('REF426', 'ALI426', 98),
('REF427', 'ALI427', 18),
('REF428', 'ALI428', 12),
('REF429', 'ALI429', 24),
('REF430', 'ALI430', 40),
('REF431', 'ALI431', 86),
('REF432', 'ALI432', 55),
('REF433', 'ALI433', 2),
('REF434', 'ALI434', 88),
('REF435', 'ALI435', 76),
('REF436', 'ALI436', 79),
('REF437', 'ALI437', 81),
('REF438', 'ALI438', 30),
('REF439', 'ALI439', 36),
('REF440', 'ALI440', 26),
('REF441', 'ALI441', 3),
('REF442', 'ALI442', 32),
('REF443', 'ALI443', 41),
('REF444', 'ALI444', 73),
('REF445', 'ALI445', 76),
('REF446', 'ALI446', 74),
('REF447', 'ALI447', 61),
('REF448', 'ALI448', 84),
('REF449', 'ALI449', 63),
('REF450', 'ALI450', 17),
('REF451', 'ALI451', 10),
('REF452', 'ALI452', 50),
('REF453', 'ALI453', 23),
('REF454', 'ALI454', 25),
('REF455', 'ALI455', 23),
('REF456', 'ALI456', 64),
('REF457', 'ALI457', 70),
('REF458', 'ALI458', 96),
('REF459', 'ALI459', 11),
('REF460', 'ALI460', 100),
('REF461', 'ALI461', 37),
('REF462', 'ALI462', 88),
('REF463', 'ALI463', 26),
('REF464', 'ALI464', 14),
('REF465', 'ALI465', 43),
('REF466', 'ALI466', 40),
('REF467', 'ALI467', 79),
('REF468', 'ALI468', 98),
('REF469', 'ALI469', 20),
('REF470', 'ALI470', 83),
('REF471', 'ALI471', 25),
('REF472', 'ALI472', 90),
('REF473', 'ALI473', 66),
('REF474', 'ALI474', 27),
('REF475', 'ALI475', 35),
('REF476', 'ALI476', 56),
('REF477', 'ALI477', 79),
('REF478', 'ALI478', 90),
('REF479', 'ALI479', 12),
('REF480', 'ALI480', 91),
('REF481', 'ALI481', 91),
('REF482', 'ALI482', 68),
('REF483', 'ALI483', 27),
('REF484', 'ALI484', 91),
('REF485', 'ALI485', 73),
('REF486', 'ALI486', 28),
('REF487', 'ALI487', 4),
('REF488', 'ALI488', 7),
('REF489', 'ALI489', 16),
('REF490', 'ALI490', 36),
('REF491', 'ALI491', 23),
('REF492', 'ALI492', 95),
('REF493', 'ALI493', 23),
('REF494', 'ALI494', 68),
('REF495', 'ALI495', 47),
('REF496', 'ALI496', 15),
('REF497', 'ALI497', 26),
('REF498', 'ALI498', 58),
('REF499', 'ALI499', 7),
('REF500', 'ALI500', 43),
('REF501', 'ALI501', 9),
('REF502', 'ALI502', 82),
('REF503', 'ALI503', 48),
('REF504', 'ALI504', 25),
('REF505', 'ALI505', 60),
('REF506', 'ALI506', 85),
('REF507', 'ALI507', 38),
('REF508', 'ALI508', 17),
('REF509', 'ALI509', 45),
('REF510', 'ALI510', 36),
('REF511', 'ALI511', 66),
('REF512', 'ALI512', 20),
('REF513', 'ALI513', 66),
('REF514', 'ALI514', 43),
('REF515', 'ALI515', 70),
('REF516', 'ALI516', 100),
('REF517', 'ALI517', 42),
('REF518', 'ALI518', 3),
('REF519', 'ALI519', 26),
('REF520', 'ALI520', 39),
('REF521', 'ALI521', 15),
('REF522', 'ALI522', 45),
('REF523', 'ALI523', 62),
('REF524', 'ALI524', 67),
('REF525', 'ALI525', 94),
('REF526', 'ALI526', 89),
('REF527', 'ALI527', 67),
('REF528', 'ALI528', 31),
('REF529', 'ALI529', 58),
('REF530', 'ALI530', 20),
('REF531', 'ALI531', 11),
('REF532', 'ALI532', 61),
('REF533', 'ALI533', 52),
('REF534', 'ALI534', 74),
('REF535', 'ALI535', 81),
('REF536', 'ALI536', 16),
('REF537', 'ALI537', 25),
('REF538', 'ALI538', 15),
('REF539', 'ALI539', 95),
('REF540', 'ALI540', 28),
('REF541', 'ALI541', 38),
('REF542', 'ALI542', 89),
('REF543', 'ALI543', 30),
('REF544', 'ALI544', 88),
('REF545', 'ALI545', 12),
('REF546', 'ALI546', 59),
('REF547', 'ALI547', 93),
('REF548', 'ALI548', 5),
('REF549', 'ALI549', 48),
('REF550', 'ALI550', 74),
('REF551', 'ALI551', 6),
('REF552', 'ALI552', 2),
('REF553', 'ALI553', 10),
('REF554', 'ALI554', 53),
('REF555', 'ALI555', 58),
('REF556', 'ALI556', 19),
('REF557', 'ALI557', 6),
('REF558', 'ALI558', 62),
('REF559', 'ALI559', 24),
('REF560', 'ALI560', 54),
('REF561', 'ALI561', 88),
('REF562', 'ALI562', 12),
('REF563', 'ALI563', 84),
('REF564', 'ALI564', 52),
('REF565', 'ALI565', 73),
('REF566', 'ALI566', 8),
('REF567', 'ALI567', 82),
('REF568', 'ALI568', 6),
('REF569', 'ALI569', 3),
('REF570', 'ALI570', 93),
('REF571', 'ALI571', 42),
('REF572', 'ALI572', 78),
('REF573', 'ALI573', 78),
('REF574', 'ALI574', 84),
('REF575', 'ALI575', 29),
('REF576', 'ALI576', 82),
('REF577', 'ALI577', 74),
('REF578', 'ALI578', 25),
('REF579', 'ALI579', 54),
('REF580', 'ALI580', 24),
('REF581', 'ALI581', 37),
('REF582', 'ALI582', 19),
('REF583', 'ALI583', 41),
('REF584', 'ALI584', 73),
('REF585', 'ALI585', 22),
('REF586', 'ALI586', 79),
('REF587', 'ALI587', 13),
('REF588', 'ALI588', 23),
('REF589', 'ALI589', 55),
('REF590', 'ALI590', 36),
('REF591', 'ALI591', 21),
('REF592', 'ALI592', 47),
('REF593', 'ALI593', 40),
('REF594', 'ALI594', 3),
('REF595', 'ALI595', 30),
('REF596', 'ALI596', 29),
('REF597', 'ALI597', 56),
('REF598', 'ALI598', 99),
('REF599', 'ALI599', 49),
('REF600', 'ALI600', 93),
('REF601', 'ALI601', 1),
('REF602', 'ALI602', 19),
('REF603', 'ALI603', 11),
('REF604', 'ALI604', 98),
('REF605', 'ALI605', 6),
('REF606', 'ALI606', 73),
('REF607', 'ALI607', 93),
('REF608', 'ALI608', 80),
('REF609', 'ALI609', 56),
('REF610', 'ALI610', 11),
('REF611', 'ALI611', 97),
('REF612', 'ALI612', 2),
('REF613', 'ALI613', 59),
('REF614', 'ALI614', 81),
('REF615', 'ALI615', 80),
('REF616', 'ALI616', 35),
('REF617', 'ALI617', 74),
('REF618', 'ALI618', 82),
('REF619', 'ALI619', 52),
('REF620', 'ALI620', 72),
('REF621', 'ALI621', 6),
('REF622', 'ALI622', 18),
('REF623', 'ALI623', 90),
('REF624', 'ALI624', 59),
('REF625', 'ALI625', 64),
('REF626', 'ALI626', 33),
('REF627', 'ALI627', 61),
('REF628', 'ALI628', 54),
('REF629', 'ALI629', 34),
('REF630', 'ALI630', 83),
('REF631', 'ALI631', 93),
('REF632', 'ALI632', 74),
('REF633', 'ALI633', 77),
('REF634', 'ALI634', 25),
('REF635', 'ALI635', 53),
('REF636', 'ALI636', 56),
('REF637', 'ALI637', 4),
('REF638', 'ALI638', 65),
('REF639', 'ALI639', 64),
('REF640', 'ALI640', 75),
('REF641', 'ALI641', 49),
('REF642', 'ALI642', 98),
('REF643', 'ALI643', 80),
('REF644', 'ALI644', 84),
('REF645', 'ALI645', 81),
('REF646', 'ALI646', 1),
('REF647', 'ALI647', 27),
('REF648', 'ALI648', 58),
('REF649', 'ALI649', 58),
('REF650', 'ALI650', 80),
('REF651', 'ALI651', 39),
('REF652', 'ALI652', 92),
('REF653', 'ALI653', 1),
('REF654', 'ALI654', 45),
('REF655', 'ALI655', 24),
('REF656', 'ALI656', 78),
('REF657', 'ALI657', 59),
('REF658', 'ALI658', 10),
('REF659', 'ALI659', 56),
('REF660', 'ALI660', 81),
('REF661', 'ALI661', 9),
('REF662', 'ALI662', 53),
('REF663', 'ALI663', 50),
('REF664', 'ALI664', 56),
('REF665', 'ALI665', 39),
('REF666', 'ALI666', 75),
('REF667', 'ALI667', 38),
('REF668', 'ALI668', 76),
('REF669', 'ALI669', 53),
('REF670', 'ALI670', 44),
('REF671', 'ALI671', 81),
('REF672', 'ALI672', 3),
('REF673', 'ALI673', 82),
('REF674', 'ALI674', 94),
('REF675', 'ALI675', 5),
('REF676', 'ALI676', 1),
('REF677', 'ALI677', 58),
('REF678', 'ALI678', 69),
('REF679', 'ALI679', 76),
('REF680', 'ALI680', 35),
('REF681', 'ALI681', 24),
('REF682', 'ALI682', 91),
('REF683', 'ALI683', 50),
('REF684', 'ALI684', 9),
('REF685', 'ALI685', 73),
('REF686', 'ALI686', 4),
('REF687', 'ALI687', 2),
('REF688', 'ALI688', 39),
('REF689', 'ALI689', 83),
('REF690', 'ALI690', 78),
('REF691', 'ALI691', 48),
('REF692', 'ALI692', 21),
('REF693', 'ALI693', 18),
('REF694', 'ALI694', 60),
('REF695', 'ALI695', 85),
('REF696', 'ALI696', 17),
('REF697', 'ALI697', 80),
('REF698', 'ALI698', 13),
('REF699', 'ALI699', 28),
('REF700', 'ALI700', 22),
('REF701', 'ALI701', 34),
('REF702', 'ALI702', 80),
('REF703', 'ALI703', 5),
('REF704', 'ALI704', 51),
('REF705', 'ALI705', 82),
('REF706', 'ALI706', 39),
('REF707', 'ALI707', 77),
('REF708', 'ALI708', 56),
('REF709', 'ALI709', 16),
('REF710', 'ALI710', 93),
('REF711', 'ALI711', 97),
('REF712', 'ALI712', 65),
('REF713', 'ALI713', 97),
('REF714', 'ALI714', 20),
('REF715', 'ALI715', 16),
('REF716', 'ALI716', 70),
('REF717', 'ALI717', 15),
('REF718', 'ALI718', 51),
('REF719', 'ALI719', 76),
('REF720', 'ALI720', 43),
('REF721', 'ALI721', 96),
('REF722', 'ALI722', 85),
('REF723', 'ALI723', 13),
('REF724', 'ALI724', 66),
('REF725', 'ALI725', 81),
('REF726', 'ALI726', 17),
('REF727', 'ALI727', 61),
('REF728', 'ALI728', 70),
('REF729', 'ALI729', 4),
('REF730', 'ALI730', 95),
('REF731', 'ALI731', 24),
('REF732', 'ALI732', 66),
('REF733', 'ALI733', 33),
('REF734', 'ALI734', 83),
('REF735', 'ALI735', 3),
('REF736', 'ALI736', 12),
('REF737', 'ALI737', 74),
('REF738', 'ALI738', 72),
('REF739', 'ALI739', 44),
('REF740', 'ALI740', 59),
('REF741', 'ALI741', 14),
('REF742', 'ALI742', 75),
('REF743', 'ALI743', 33),
('REF744', 'ALI744', 33),
('REF745', 'ALI745', 84),
('REF746', 'ALI746', 87),
('REF747', 'ALI747', 26),
('REF748', 'ALI748', 43),
('REF749', 'ALI749', 45),
('REF750', 'ALI750', 31),
('REF751', 'ALI751', 18),
('REF752', 'ALI752', 42),
('REF753', 'ALI753', 55),
('REF754', 'ALI754', 83),
('REF755', 'ALI755', 7),
('REF756', 'ALI756', 84),
('REF757', 'ALI757', 2),
('REF758', 'ALI758', 7),
('REF759', 'ALI759', 30),
('REF760', 'ALI760', 90),
('REF761', 'ALI761', 34),
('REF762', 'ALI762', 88),
('REF763', 'ALI763', 49),
('REF764', 'ALI764', 61),
('REF765', 'ALI765', 35),
('REF766', 'ALI766', 25),
('REF767', 'ALI767', 83),
('REF768', 'ALI768', 57),
('REF769', 'ALI769', 49),
('REF770', 'ALI770', 39),
('REF771', 'ALI771', 2),
('REF772', 'ALI772', 18),
('REF773', 'ALI773', 84),
('REF774', 'ALI774', 21),
('REF775', 'ALI775', 56),
('REF776', 'ALI776', 11),
('REF777', 'ALI777', 47),
('REF778', 'ALI778', 4),
('REF779', 'ALI779', 48),
('REF780', 'ALI780', 92),
('REF781', 'ALI781', 5),
('REF782', 'ALI782', 31),
('REF783', 'ALI783', 85),
('REF784', 'ALI784', 67),
('REF785', 'ALI785', 20),
('REF786', 'ALI786', 19),
('REF787', 'ALI787', 86),
('REF788', 'ALI788', 71),
('REF789', 'ALI789', 86),
('REF790', 'ALI790', 30),
('REF791', 'ALI791', 52),
('REF792', 'ALI792', 42),
('REF793', 'ALI793', 86),
('REF794', 'ALI794', 86),
('REF795', 'ALI795', 41),
('REF796', 'ALI796', 46),
('REF797', 'ALI797', 65),
('REF798', 'ALI798', 1),
('REF799', 'ALI799', 89),
('REF800', 'ALI800', 19),
('REF801', 'ALI801', 56),
('REF802', 'ALI802', 59),
('REF803', 'ALI803', 18),
('REF804', 'ALI804', 27),
('REF805', 'ALI805', 45),
('REF806', 'ALI806', 43),
('REF807', 'ALI807', 83),
('REF808', 'ALI808', 82),
('REF809', 'ALI809', 70),
('REF810', 'ALI810', 71),
('REF811', 'ALI811', 38),
('REF812', 'ALI812', 5),
('REF813', 'ALI813', 41),
('REF814', 'ALI814', 4),
('REF815', 'ALI815', 4),
('REF816', 'ALI816', 19),
('REF817', 'ALI817', 26),
('REF818', 'ALI818', 19),
('REF819', 'ALI819', 73),
('REF820', 'ALI820', 32),
('REF821', 'ALI821', 23),
('REF822', 'ALI822', 99),
('REF823', 'ALI823', 76),
('REF824', 'ALI824', 62),
('REF825', 'ALI825', 74),
('REF826', 'ALI826', 91),
('REF827', 'ALI827', 78),
('REF828', 'ALI828', 13),
('REF829', 'ALI829', 73),
('REF830', 'ALI830', 95),
('REF831', 'ALI831', 82),
('REF832', 'ALI832', 90),
('REF833', 'ALI833', 59),
('REF834', 'ALI834', 31),
('REF835', 'ALI835', 42),
('REF836', 'ALI836', 20),
('REF837', 'ALI837', 99),
('REF838', 'ALI838', 4),
('REF839', 'ALI839', 48),
('REF840', 'ALI840', 36),
('REF841', 'ALI841', 98),
('REF842', 'ALI842', 80),
('REF843', 'ALI843', 8),
('REF844', 'ALI844', 79),
('REF845', 'ALI845', 14),
('REF846', 'ALI846', 17),
('REF847', 'ALI847', 63),
('REF848', 'ALI848', 78),
('REF849', 'ALI849', 58),
('REF850', 'ALI850', 49),
('REF851', 'ALI851', 33),
('REF852', 'ALI852', 5),
('REF853', 'ALI853', 34),
('REF854', 'ALI854', 17),
('REF855', 'ALI855', 97),
('REF856', 'ALI856', 49),
('REF857', 'ALI857', 87),
('REF858', 'ALI858', 28),
('REF859', 'ALI859', 81),
('REF860', 'ALI860', 66),
('REF861', 'ALI861', 21),
('REF862', 'ALI862', 8),
('REF863', 'ALI863', 45),
('REF864', 'ALI864', 81),
('REF865', 'ALI865', 84),
('REF866', 'ALI866', 64),
('REF867', 'ALI867', 36),
('REF868', 'ALI868', 15),
('REF869', 'ALI869', 97),
('REF870', 'ALI870', 57),
